PWSID,LAT,LON,POP_SERVED,AREA_sqm
010106001,41.39322436,-71.85185576,37807,5466541.388
040000002,31.10113621,-87.5606055,5900,1639429.186
041200001,27.07878232,-81.07351577,6538,639490.9122
041200002,26.32130316,-80.98611408,900,2721768.927
041200003,26.03797362,-80.218713,2709,74249.85497
041200004,26.37006749,-81.79914,5221,1162429.889
041210001,25.75924711,-80.81509597,500,2908727.628
042800001,32.83638149,-88.92869141,1180,1475753.526
042800002,32.45137117,-89.265332,860,2102987.87
042800003,32.78026445,-89.2258755,13055,934890.2553
043700056,35.50546545,-83.152302,192,2338525.326
043740039,35.46126004,-83.2985365,18415,23263731.74
043740040,35.42483385,-83.348724,53,374556.3935
055293101,46.45875213,-84.62245138,857,687314.1908
055293201,43.60092224,-84.6779735,10198,4748788.035
055293302,46.79941429,-88.41763858,350,893706.9278
055293304,46.48039874,-87.2441565,1090,406313.3195
055293401,46.15751807,-89.18058679,1740,1039418.166
055293501,45.99587645,-86.19205361,147,281143.2499
055293502,46.15683087,-86.6016605,52,885388.615
055293504,46.42410904,-84.26026766,240,403312.0637
055293601,45.63779683,-84.78501727,2135,227856.1229
055293603,44.77123185,-85.4850585,7284,2959225.401
055293611,45.65591182,-87.344107,4382,819437.6821
055293702,44.28627918,-86.24870966,3921,667896.3005
055293801,45.64191432,-85.03680873,77,18130.8218
055293901,42.10536551,-85.26314659,90,257381.5349
055294101,47.92215324,-90.05884438,820,2507059.409
055294202,47.34130416,-94.20781114,112,61087.31939
055294204,47.55375719,-93.980945,186,81583.9712
055294205,47.41452755,-94.33701729,105,17948.87721
055294214,47.43897741,-94.67111333,2086,37293.71888
055294301,46.23198357,-93.79782914,4220,2127603.227
055294401,48.10982487,-93.12446694,389,21245094.55
055294402,47.83039113,-92.30393075,2486,749428.2245
055294404,48.05772099,-92.82364226,74,2379007.017
055294501,44.7558545,-93.45307549,300,46741.74101
055294502,44.64118993,-92.6604985,5728,6833617.298
055294503,44.53339304,-94.997759,3885,2374447.744
055294602,47.92252634,-94.85701432,2099,141242343.1
055294603,48.0201271,-94.91462,371,110873.0374
055294701,47.26438917,-95.62895057,462,373545.3242
055294702,46.92089902,-95.2556445,85,79759.70347
055294704,47.09950225,-95.84019091,567,249881.4441
055294804,46.8664135,-92.60505631,471,70227.39895
055294902,44.7477864,-95.494893,1900,299691.1511
055295003,44.87288572,-88.86428291,2805,459964.2011
055295011,44.19364026,-91.87096629,2746,16614.29997
055295012,43.67223532,-89.82174982,126,370857.4934
055295013,43.54162694,-89.76072548,196,220563.93
055295015,44.30464399,-90.1105672,2002,142980.1232
055295016,43.60261257,-89.40735086,132,2825871.242
055295102,46.59363132,-90.65481703,1939,2415147.362
055295103,46.49653824,-90.58545269,322,19755339.25
055295104,46.54992154,-90.59794986,242,158707.7829
055295201,45.56850647,-88.843568,851,364215.8554
055295205,45.32117563,-88.58839564,634,232327.0879
055295301,45.89646858,-91.17992096,150,167281.2256
055295310,45.97660893,-91.3319435,3030,7284541.669
055295401,45.9732467,-89.88213358,3172,6625906.955
055295504,44.89818281,-88.5688505,68,128325.9584
055295507,44.93247155,-88.74438975,310,5514321.763
055295508,44.85034343,-88.63228319,3960,2220417.374
055295510,45.00899851,-88.77131486,1162,67963547.21
055295601,45.48432685,-88.9723795,1104,1594804.79
055295703,44.46584506,-88.24080457,3715,2492558.718
055295704,45.20514242,-91.89808373,691,473471.7711
055295802,46.85772921,-90.79815709,2080,11679379.63
055295901,45.52504172,-92.28368126,93,5343.94619
055295902,45.81530972,-92.23302285,1143,91342.28368
061020808,35.38976591,-97.04551081,4770,224440.9249
061800001,34.73345541,-106.7831065,8103,16405.17685
061870124,30.71488062,-94.703608,353,1505663.714
062002156,36.31338708,-94.9949635,487,454749.2882
062004108,35.58032435,-96.67850824,479,82582.41334
062004183,35.49474725,-97.08278044,683,34696.04918
062004336,33.75816852,-97.13001125,7642,1641977.112
062005883,36.80953423,-94.7600145,1703,1601328.399
063003614,36.59752051,-97.07852197,360,546382.0155
063500006,36.93901553,-106.9913594,3064,5408254.787
063500108,35.6478355,-106.3425374,1200,4725622.915
063500110,35.61123124,-106.727215,3200,2351618.392
063500113,36.27187119,-105.7854878,350,240866.7582
063500114,35.22754518,-106.613147,497,7062132.453
063500116,35.88836835,-106.1155933,608,1500291.655
063500119,35.88785808,-105.9634435,800,310489.2124
063500120,35.43368066,-106.420216,5455,79393678.91
063500122,35.76072299,-105.9462195,675,151978.6954
063500123,35.50597128,-106.7222309,995,206023.0237
063500166,35.97450393,-106.0640255,2500,2900843.634
063500191,36.55572643,-105.2984281,2652,2429557.509
063501001,35.06842367,-107.6560834,2374,581723.165
063501100,35.88422552,-106.00884,3644,4044351.642
063501109,34.96481012,-106.6586864,4724,600056.3168
063501111,35.11859923,-107.4643758,236,111370.8621
063501117,36.04954727,-106.0670124,2200,1534371.315
063501124,35.06848966,-108.8451653,10307,13779799.2
063501160,35.42138333,-106.4340262,3625,6036022.929
063501233,33.15864249,-105.7934481,4056,2572505.591
063502084,34.80548147,-106.6668861,86,1719176.058
063502111,35.14422924,-107.3820455,757,1838334.452
063502233,33.22524075,-105.690544,750,440532.4313
063503013,33.21892842,-105.7378503,780,23699.39681
063503109,34.92339964,-106.6971173,3689,11632950.69
063503111,35.03652968,-107.408184,4500,4832024.703
063503115,35.21776635,-106.623359,3789,2754980.172
