"PWSID","LAT","LON","SOURCE"
"010106001",41.39322436,-71.85185576,"PWS Shapefile Centroid"
"040000002",31.10113621,-87.5606055,"PWS Shapefile Centroid"
"043740039",35.46126004,-83.2985365,"PWS Shapefile Centroid"
"055293603",44.77123185,-85.4850585,"PWS Shapefile Centroid"
"055293611",45.65591182,-87.344107,"PWS Shapefile Centroid"
"055293702",44.28627918,-86.24870966,"PWS Shapefile Centroid"
"055294301",46.23198357,-93.79782914,"PWS Shapefile Centroid"
"055294502",44.64118993,-92.6604985,"PWS Shapefile Centroid"
"055294503",44.53339304,-94.997759,"PWS Shapefile Centroid"
"055295003",44.87288572,-88.86428291,"PWS Shapefile Centroid"
"061020808",35.38976591,-97.04551081,"PWS Shapefile Centroid"
"062004336",33.75816852,-97.13001125,"PWS Shapefile Centroid"
"063500120",35.43368066,-106.420216,"PWS Shapefile Centroid"
"063501100",35.88422552,-106.00884,"PWS Shapefile Centroid"
"063503109",34.92339964,-106.6971173,"PWS Shapefile Centroid"
"063503111",35.03652968,-107.408184,"PWS Shapefile Centroid"
"063503115",35.21776635,-106.623359,"PWS Shapefile Centroid"
"083090091",48.58052335,-113.0243527,"PWS Shapefile Centroid"
"083890023",48.82654428,-99.76100125,"PWS Shapefile Centroid"
"084690020",43.14263919,-100.9023286,"PWS Shapefile Centroid"
"084690475",43.02885717,-102.5519257,"PWS Shapefile Centroid"
"084690480",43.208381,-102.7870165,"PWS Shapefile Centroid"
"084690510",45.6560283,-100.531655,"PWS Shapefile Centroid"
"084690516",43.47323174,-101.202422,"PWS Shapefile Centroid"
"084690532",43.30035913,-100.6305808,"PWS Shapefile Centroid"
"085690003",43.00067231,-108.9028735,"PWS Shapefile Centroid"
"090400020",32.39463623,-112.8722835,"PWS Shapefile Centroid"
"090400042",31.91485017,-111.8627175,"PWS Shapefile Centroid"
"090400047",32.97809578,-111.5282541,"PWS Shapefile Centroid"
"090400051",34.13980294,-114.2979417,"PWS Shapefile Centroid"
"090400089",32.73746281,-114.6083055,"PWS Shapefile Centroid"
"090400090",33.01179912,-111.9871548,"PWS Shapefile Centroid"
"090400109",33.49336896,-111.8324878,"PWS Shapefile Centroid"
"090400693",33.83542519,-109.9701505,"PWS Shapefile Centroid"
"090600142",33.95137986,-116.8347793,"PWS Shapefile Centroid"
"090600147",33.19700177,-117.3819003,"PWS Shapefile Centroid"
"090600158",32.64356826,-117.0269803,"PWS Shapefile Centroid"
"090605013",33.18407212,-117.3159668,"PWS Shapefile Centroid"
"090605024",32.74813148,-116.92644,"PWS Shapefile Centroid"
"090605047",39.5361236,-122.2051678,"PWS Shapefile Centroid"
"090605107",38.76122356,-122.1532454,"PWS Shapefile Centroid"
"090605126",41.03615359,-123.6622758,"PWS Shapefile Centroid"
"090605153",33.3748207,-117.0693525,"PWS Shapefile Centroid"
"105300003",48.10431336,-122.2296745,"PWS Shapefile Centroid"
"105300019",46.72979815,-124.0326841,"PWS Shapefile Centroid"
"105388889",48.09423099,-123.1305631,"PWS Shapefile Centroid"
"AK2210605",61.12675438,-149.7595492,"PWS Shapefile Centroid"
"AK2210906",61.13999093,-149.935236,"PWS Shapefile Centroid"
"AK2224646",61.59534971,-149.461373,"PWS Shapefile Centroid"
"AK2226020",61.59224907,-149.0988088,"PWS Shapefile Centroid"
"AK2240448",60.57048588,-151.2954505,"PWS Shapefile Centroid"
"AK2240757",60.1173608,-149.4579658,"PWS Shapefile Centroid"
"AK2241054",60.4893927,-151.0892749,"PWS Shapefile Centroid"
"AK2250011",57.80353238,-152.3825554,"PWS Shapefile Centroid"
"AK2260309",53.91690697,-166.5185013,"PWS Shapefile Centroid"
"AK2293205",60.53655085,-145.7706053,"PWS Shapefile Centroid"
"AK2298103",61.13043162,-146.3694854,"PWS Shapefile Centroid"
"AK2310675",64.72891066,-147.308486,"PWS Shapefile Centroid"
"AK2310683",64.9554566,-147.760073,"PWS Shapefile Centroid"
"AK2310730",64.83670902,-147.7352557,"PWS Shapefile Centroid"
"AK2310900",64.84574715,-147.835013,"PWS Shapefile Centroid"
"AK2370625",64.67547667,-147.0650025,"PWS Shapefile Centroid"
"AL0000001",32.53098027,-86.49450226,"PWS Shapefile Centroid"
"AL0000013",32.59403524,-86.4697145,"PWS Shapefile Centroid"
"AL0000023",30.87302211,-87.77243744,"PWS Shapefile Centroid"
"AL0000025",30.59430848,-87.82745677,"PWS Shapefile Centroid"
"AL0000048",30.61528516,-87.759827,"PWS Shapefile Centroid"
"AL0000053",30.28665194,-87.58290718,"PWS Shapefile Centroid"
"AL0000061",30.55268731,-87.70714805,"PWS Shapefile Centroid"
"AL0000068",30.67876184,-87.902888,"PWS Shapefile Centroid"
"AL0000076",30.79969369,-87.82486675,"PWS Shapefile Centroid"
"AL0000079",31.76706545,-85.16798831,"PWS Shapefile Centroid"
"AL0000083",31.7041045,-85.6155805,"PWS Shapefile Centroid"
"AL0000085",31.89127451,-85.15275823,"PWS Shapefile Centroid"
"AL0000089",31.96935044,-85.52225294,"PWS Shapefile Centroid"
"AL0000091",32.94927473,-87.15557051,"PWS Shapefile Centroid"
"AL0000092",32.94774189,-87.1267015,"PWS Shapefile Centroid"
"AL0000093",33.27253199,-87.14619654,"PWS Shapefile Centroid"
"AL0000100",34.0800363,-86.5860685,"PWS Shapefile Centroid"
