ZCTA,LAT,LON
35592,33.7431484,-88.09671828
35616,34.73814724,-88.01891754
35621,34.3496855,-86.72392091
35651,34.46253461,-87.48045702
36010,31.69207634,-85.766022
36036,32.00372854,-86.144235
36064,32.30079952,-86.08185063
36080,32.7049664,-86.2865959
36110,32.44899263,-86.25565462
36250,33.76562229,-85.89676369
36276,33.12640955,-85.57766999
36322,31.25575747,-85.73248466
36460,31.51311832,-87.321922
36545,31.40041063,-87.8276235
36579,31.11394093,-87.78614383
36603,30.66986065,-88.04590036
36782,32.11684478,-87.91001591
36916,32.23778855,-88.04155577
36741,32.02194406,-87.025992
35007,33.21750872,-86.79308486
35010,32.91433036,-85.93816433
35020,33.40500713,-86.95433922
35043,33.30927406,-86.66026703
35073,33.65377469,-86.98053706
33412,26.80558711,-80.21551765
33435,26.52569935,-80.06119477
33440,26.54057083,-81.04326405
33442,26.31012003,-80.14502876
33471,26.91047713,-81.19753286
33514,28.65242547,-81.979264
33559,28.17179451,-82.404316
33578,27.87456989,-82.37916275
33713,27.78882154,-82.67757363
33777,27.85257572,-82.76024587
33782,27.85966475,-82.70903212
33890,27.45582589,-81.68355965
33950,26.91289973,-82.04251221
34113,26.05583151,-81.73539314
34203,27.44317417,-82.50837365
34266,27.18705072,-81.716824
34288,27.05382692,-82.11163035
34638,28.26034813,-82.52038225
34787,28.48358104,-81.62835195
33550,27.97943268,-82.3068965
99516,61.07262273,-149.7180681
99568,60.25266052,-150.3395867
99615,57.61276183,-153.3497946
33433,26.34707614,-80.15918948
33463,26.59509379,-80.12967432
33493,26.4755237,-80.7230088
33513,28.65414784,-82.1647775
33534,27.82266248,-82.37544226
33576,28.32261748,-82.34927275
33756,27.9484772,-82.7952165
33760,27.90530772,-82.71384447
33827,27.83853111,-81.5140265
33860,27.80550348,-81.99500298
33912,26.53286695,-81.82500807
33931,26.46739177,-81.94252475
34103,26.19263181,-81.80378126
34135,26.36923439,-81.73298352
34285,27.09143528,-82.4365002
34473,29.0050398,-82.18831471
34614,28.64627341,-82.51322334
34950,27.44346778,-80.32971163
33022,26.01384813,-80.14406609
32024,30.11372542,-82.7197925
32025,30.11269297,-82.57072297
32040,30.2070265,-82.2506195
32044,29.86322371,-82.172423
32062,30.13275792,-82.9754059
99622,59.86853211,-163.1618575
99670,58.66555112,-156.9886268
99682,61.17142304,-151.1680559
99747,70.11886759,-143.6702765
99776,63.34855909,-143.412802
99929,56.35524843,-132.322447
99506,61.27172241,-149.8144084
99563,61.55009355,-165.3579773
99574,60.85006759,-147.2881303
99575,61.843893,-158.1082665
99639,59.9959899,-151.3617896
99644,57.92250212,-152.4221377
99648,55.93149237,-159.1559703
